time,fl_id,KL_div
0,0,4.897303104400635
1,0,0.9559925198554993
2,0,1.1520785093307495
3,0,0.38671186566352844
4,0,0.6914377212524414
5,0,0.3825955390930176
6,0,0.20592208206653595
7,0,-0.025637438520789146
8,0,0.08825932443141937
9,0,0.005944911390542984
10,0,0.025037063285708427
11,0,0.2520139813423157
12,0,0.027522822842001915
13,0,0.02390098385512829
14,0,0.744801938533783
15,0,1.1403765678405762
16,0,0.23252302408218384
17,0,0.5376970767974854
18,0,1.3003612756729126
19,0,0.6477144956588745
20,0,1.1175422668457031
21,0,0.19660843908786774
22,0,-0.016625933349132538
23,0,-0.04663776606321335
24,0,0.4595566987991333
25,0,-0.12239517271518707
26,0,0.0528121218085289
27,0,0.4523293375968933
28,0,0.35151031613349915
29,0,0.17562787234783173
30,0,0.18839463591575623
31,0,0.43017521500587463
32,0,0.14193159341812134
33,0,-0.02107761800289154
34,0,0.12863865494728088
35,0,0.40646374225616455
36,0,-0.07211213558912277
37,0,0.42324408888816833
38,0,0.25665393471717834
39,0,0.24084560573101044
40,0,0.3742499351501465
41,0,0.2725273668766022
42,0,0.12406714260578156
43,0,0.958882212638855
44,0,0.011084645986557007
45,0,-0.059182897210121155
46,0,0.42961519956588745
47,0,0.517856776714325
48,0,0.3419758081436157
49,0,0.009917470626533031
50,0,0.06319300085306168
51,0,0.0227243322879076
52,0,0.3262948989868164
53,0,-0.04744691401720047
54,0,0.026847299188375473
55,0,0.15654394030570984
56,0,2.3835904598236084
57,0,0.29669371247291565
58,0,0.43969303369522095
59,0,0.1001337394118309
60,0,1.37449049949646
61,0,1.100868582725525
62,0,0.05565885826945305
63,0,0.8578154444694519
64,0,0.29349350929260254
65,0,-0.045137207955121994
66,0,0.22204981744289398
67,0,0.13294096291065216
68,0,0.19135688245296478
69,0,0.7123881578445435
70,0,0.08557039499282837
71,0,0.3260568082332611
72,0,0.2419862449169159
73,0,0.35297754406929016
74,0,0.522382378578186
75,0,0.48126137256622314
76,0,0.338748961687088
77,0,1.1199921369552612
78,0,0.5427267551422119
79,0,0.436544269323349
80,0,0.5470954775810242
81,0,0.2659607529640198
82,0,0.9856067299842834
83,0,0.08879602700471878
84,0,0.4194791913032532
85,0,1.2615259885787964
86,0,0.5856645703315735
87,0,0.15838953852653503
88,0,0.015309126116335392
89,0,-0.013827704824507236
90,0,0.04295738786458969
91,0,0.1255771517753601
92,0,0.1440814733505249
93,0,0.08417928963899612
94,0,0.15190814435482025
95,0,0.5194881558418274
96,0,0.29697299003601074
97,0,0.5894056558609009
98,0,0.19511748850345612
99,0,0.17111481726169586
0,1,4.60863733291626
1,1,0.6836203932762146
2,1,0.7478516697883606
3,1,0.19522331655025482
4,1,0.3338489234447479
5,1,0.06927775591611862
6,1,0.10800696909427643
7,1,0.17072002589702606
8,1,-0.10941264033317566
9,1,0.05782163888216019
10,1,-0.06086697429418564
11,1,0.06551948189735413
