time,seed,sinkhorn_div
0,3,2.563595142346686
1,3,1.3291689192096114
2,3,0.7048191218300616
3,3,0.427492691808551
4,3,0.318935726790271
5,3,0.2809804313284065
6,3,0.31140006321926
7,3,0.26474516673894927
8,3,0.19323560818802826
9,3,0.22029525912575829
10,3,0.20228692622937544
11,3,0.2515949098074405
12,3,0.26988886177239224
13,3,0.2785677696518719
14,3,0.2580310011210286
15,3,0.26271658318493724
16,3,0.24439721928437294
17,3,0.27578976971917685
18,3,0.2769476520121309
19,3,0.32619012564577965
20,3,0.3852661478976832
21,3,0.37920971152745325
22,3,0.25260640992155
23,3,0.21049940568507058
24,3,0.25830215136447676
25,3,0.32787192894198697
26,3,0.47726302955010386
27,3,0.4703934469931914
28,3,0.3912671723421068
29,3,0.373711119450688
30,3,0.35146834914146524
31,3,0.24865638758986472
32,3,0.20940391817660398
33,3,0.29733818712508314
34,3,0.2674883113963402
35,3,0.25602734126549676
36,3,0.2860244702094451
37,3,0.28644371717906897
38,3,0.25752670168161207
39,3,0.24734591013819998
0,5,2.5149095358988327
1,5,1.3876382707312267
2,5,0.9099175791042502
3,5,0.5939107727424533
4,5,0.41451176076684904
5,5,0.3917524660601286
6,5,0.4081053730858889
7,5,0.3898461206092694
8,5,0.32375916688968587
9,5,0.3462369106070249
10,5,0.38330144213965717
11,5,0.38606993839162346
12,5,0.3145631870025039
13,5,0.2803747545599235
14,5,0.270240637978784
15,5,0.23588132789596178
16,5,0.22454398488754393
17,5,0.22728836590974819
18,5,0.3042203182538583
19,5,0.3036609988844778
20,5,0.30306764531974717
21,5,0.2783343261403139
22,5,0.25284382014308393
23,5,0.2863214931786885
24,5,0.31346451210319026
25,5,0.6021129517271433
26,5,0.4796040049151459
27,5,0.3937130933449559
28,5,0.42323752534038683
29,5,0.744781858650842
30,5,0.6258674086027877
31,5,0.3743928325207974
32,5,0.25940316231207383
33,5,0.2977079076321234
34,5,0.4271884901178993
35,5,0.3825310431455619
36,5,0.3381715499755809
37,5,0.3553871228743012
38,5,0.26128528055586925
39,5,0.22262075208148527
0,7,1.718758253597903
1,7,1.4084282006057662
2,7,0.9982434581195445
3,7,0.8241601715243381
4,7,0.9366429544028999
5,7,0.8345417956107506
6,7,0.6143044846699063
7,7,0.4591405075408022
8,7,0.36146922063050724
9,7,0.2970185183907374
10,7,0.25105775640430267
11,7,0.42882397319377435
12,7,0.33211443363950427
13,7,0.3123459674781298
14,7,0.3333316693661802
15,7,0.22478879313949468
16,7,0.2356692579807352
17,7,0.2504595764250731
18,7,0.2862341639456894
19,7,0.4577226218573338
20,7,0.3568753300613507
21,7,0.39843443327078826
22,7,0.3515252517465165
23,7,0.2961418610994192
24,7,0.33077182895108276
25,7,0.3170488919105652
26,7,0.33582733255228164
27,7,0.46472571982212496
28,7,0.36986484833245514
29,7,0.3601666314538259
30,7,0.31228192588208503
31,7,0.28835741603106324
32,7,0.31917080123720004
33,7,0.5089007820582888
34,7,0.5894064893026804
35,7,0.34700144490771173
36,7,0.4247587507995638
37,7,0.31646484256342505
38,7,0.29647933794851694
39,7,0.3037268459655207
0,11,2.4017514871112424
1,11,1.4001250074979354
2,11,1.1285078672338493
3,11,0.8956785216115394
4,11,0.6267535405951039
5,11,0.5847563473380223
6,11,0.5803705627860051
7,11,0.5772694365664292
8,11,0.5018565459795642
9,11,0.3564126822808064
10,11,0.35462656968192585
11,11,0.3785102387193661
12,11,0.29158188944512964
13,11,0.31671753629537525
14,11,0.28670542059741344
15,11,0.31078931354017664
16,11,0.2461503584407201
17,11,0.27068431893511735
18,11,0.2909467346782716
19,11,0.2819042411193888
20,11,0.2818510203512392
21,11,0.3007989358037274
22,11,0.2451530141598659
23,11,0.1930802961108413
24,11,0.2323144456075335
25,11,0.23830652884549286
26,11,0.3381271967402261
27,11,0.3735505343992863
28,11,0.40210694686782067
29,11,0.3537795835937093
30,11,0.2787471910728603
31,11,0.23235748104216009
32,11,0.23611438164985887
33,11,0.24423349521467033
34,11,0.2854820506646566
35,11,0.24070728864229043
36,11,0.26378021840008026
37,11,0.2647262684017066
38,11,0.2588435853347153
39,11,0.27564469920150364
0,13,2.62973766585046
1,13,1.1670818214629155
2,13,0.8314264812850524
3,13,0.9698659560407137
4,13,0.8828250242712096
5,13,0.4058694340741594
6,13,0.34247627310117684
7,13,0.364444776727669
8,13,0.3127299178237302
9,13,0.26440498725328987
10,13,0.24841497547077748
11,13,0.2733861738807239
12,13,0.40527768420097127
13,13,0.3002832054473888
14,13,0.3141814770399174
15,13,0.2766947742459831
16,13,0.25316002568112356
17,13,0.28073118624317567
18,13,0.33313660354516544
19,13,0.3915737456147641
20,13,0.3228931674815642
21,13,0.2958039866362248
22,13,0.26046113429294787
23,13,0.22131425927892218
24,13,0.23849528502406137
25,13,0.24909837380662883
26,13,0.4083013644484575
27,13,0.42226769572975664
28,13,0.3832101313799173
29,13,0.3572534049467819
30,13,0.32511536586351514
31,13,0.3199218600951996
32,13,0.2969006602591525
33,13,0.3004662982683933
34,13,0.529225840851882
35,13,0.32913522519875726
36,13,0.33354159892262414
37,13,0.25737132269264235
38,13,0.2413917975435824
39,13,0.264915078609475
0,17,2.3715838910810856
1,17,1.3475199312565536
2,17,1.1756189684228944
3,17,0.8544062107973958
4,17,0.5764026244440629
5,17,0.5891095069322762
6,17,0.41243181676600954
7,17,0.3921096815741557
8,17,0.3437295495799184
9,17,0.35737934797590104
10,17,0.44948860024475856
11,17,0.385097399349391
12,17,0.34669871748152575
13,17,0.32615947128741696
14,17,0.3076199001616506
15,17,0.30074905867282625
16,17,0.30482781676041654
17,17,0.3408958766644806
18,17,0.34552858547905935
19,17,0.34985711467885555
20,17,0.5232590043632327
21,17,0.33558903963246833
22,17,0.23687549129274094
23,17,0.2299347769344518
24,17,0.24889756555726913
25,17,0.33157201311088746
26,17,0.40768860144307756
27,17,0.3968626951577927
28,17,0.34022051654888585
29,17,0.4003123695379278
30,17,0.32375916688968587
31,17,0.2357965196578129
32,17,0.24629251082908182
33,17,0.23600847521966084
34,17,0.3792228948730488
35,17,0.2572352999490003
36,17,0.26246904179261277
37,17,0.24639399695787914
38,17,0.21264994429041126
39,17,0.22638462746610064
0,19,2.4308393391441387
1,19,0.8028013475236669
2,19,0.3613447030878071
3,19,0.2966142312243981
4,19,0.2884267698174644
5,19,0.327612578956699
6,19,0.30339743081509424
7,19,0.27206616532012295
8,19,0.21753160880045105
9,19,0.2141728242188106
10,19,0.23552070174929893
11,19,0.3413941981372923
12,19,0.2597883687782564
13,19,0.26092144522702065
14,19,0.26936962976435275
15,19,0.2253219909891146
16,19,0.24166092232065012
17,19,0.309434963445528
18,19,0.4171810213936096
19,19,0.3179937146670797
20,19,0.2781186762101542
21,19,0.28055302036643387
22,19,0.2695366402791934
23,19,0.2528042721676713
24,19,0.2758260355562167
25,19,0.3738850070962214
26,19,0.4578318471368322
27,19,0.4149578239369355
28,19,0.6656800932314124
29,19,0.3841484076483694
30,19,0.3277499007683901
31,19,0.2754087915583529
32,19,0.28303709753986955
33,19,0.3122498941932908
34,19,0.27475443192743865
35,19,0.31170498332359287
36,19,0.2820992760235862
37,19,0.27698375279672
38,19,0.2294122922086297
39,19,0.2479919387777199
0,23,2.636292825842081
1,23,1.6246506975792974
2,23,0.996734682210845
3,23,0.9840884018533096
4,23,0.8812831696564853
5,23,0.6425573931193237
6,23,0.5123865851074145
7,23,0.5394904884033759
8,23,0.38879300630896224
9,23,0.29058561622221374
10,23,0.2601922339678343
11,23,0.2929163695239373
12,23,0.3067246340217866
13,23,0.39423344013604766
14,23,0.3625465470059235
15,23,0.2406865183726788
16,23,0.21215560437400754
17,23,0.23370922417628742
18,23,0.30354570757668464
19,23,0.28785413047503355
20,23,0.285692142528967
21,23,0.2663268605854326
22,23,0.23475519179330148
23,23,0.20721968586376263
24,23,0.2588435853347153
25,23,0.24281679964615913
26,23,0.35807821327684786
27,23,0.37411229046825256
28,23,0.49045896514922316
29,23,0.34260764826676404
30,23,0.27994641887648547
31,23,0.21904337317896672
32,23,0.2355843813058407
33,23,0.33142117944638755
34,23,0.41848535786813723
35,23,0.2811049643713278
36,23,0.2793206024761646
37,23,0.2504795362942612
38,23,0.228232338552634
39,23,0.23218526737736464
0,29,2.7700234474814773
1,29,1.6858617813317334
2,29,1.1276391121586273
3,29,1.0741089365923466
4,29,0.953829114389918
5,29,0.4573947895217391
6,29,0.4433057643389969
7,29,0.46850827660267513
8,29,0.41334004623912113
9,29,0.47823633879768335
10,29,0.6028017927279833
11,29,0.9068075963951975
12,29,0.3439476680295868
13,29,0.4194162562809349
14,29,0.3084153009482525
15,29,0.26988886177239224
16,29,0.2520714119911304
17,29,0.23609319943074145
18,29,0.25779836789325533
19,29,0.2794100925414712
20,29,0.33253570830980195
21,29,0.36962142795672487
22,29,0.3236355994961529
23,29,0.3376092455802751
24,29,0.38547373254692446
25,29,0.4618333096717013
26,29,0.4471912405469388
27,29,0.6088185337191777
28,29,0.5808269920121543
29,29,0.3673281907356544
30,29,0.311849322016855
31,29,0.2404163028390887
32,29,0.20383816930806375
33,29,0.25449950528986726
34,29,0.2584182673981545
