time,obs_id,KL_div
0,0,4.040754795074463
1,0,0.3091515898704529
2,0,2.725381851196289
3,0,1.2025607824325562
4,0,0.9280653595924377
5,0,0.07935827225446701
6,0,0.10713374614715576
7,0,0.31611520051956177
8,0,0.0966440886259079
9,0,0.13905537128448486
10,0,0.2007320672273636
11,0,0.3582468330860138
12,0,0.49610182642936707
13,0,0.5036952495574951
14,0,0.32628604769706726
15,0,0.8498607277870178
16,0,-0.02524886280298233
17,0,0.08011239767074585
18,0,0.019954120740294456
19,0,0.14030493795871735
20,0,0.3440318703651428
21,0,0.19812025129795074
22,0,0.03208359703421593
23,0,0.02796250395476818
24,0,-0.03649501875042915
25,0,0.522940456867218
26,0,0.35469764471054077
27,0,0.5225529074668884
28,0,0.41585761308670044
29,0,0.0781475305557251
30,0,0.09086120873689651
31,0,-0.012305931188166142
32,0,0.7414093017578125
33,0,0.2535773515701294
34,0,0.3163256347179413
35,0,0.6001830101013184
36,0,-0.07533706724643707
37,0,-0.013934839516878128
38,0,1.048039197921753
39,0,1.1768184900283813
40,0,0.17565390467643738
41,0,1.1495777368545532
42,0,0.01456825528293848
43,0,-0.1640981286764145
44,0,0.06324755400419235
45,0,-0.02117951773107052
46,0,0.04616660252213478
47,0,0.2177949994802475
48,0,0.43039846420288086
49,0,0.20907647907733917
50,0,0.2852820158004761
51,0,0.19382700324058533
52,0,0.08523330837488174
53,0,0.5115430355072021
54,0,0.5631982684135437
55,0,0.2480819970369339
56,0,0.6001610159873962
57,0,0.48821744322776794
58,0,0.11800777912139893
59,0,0.189178004860878
60,0,0.09449039399623871
61,0,1.413987398147583
62,0,1.1571091413497925
63,0,0.25352931022644043
64,0,0.38041451573371887
65,0,0.195407435297966
66,0,1.0741515159606934
67,0,0.47672802209854126
68,0,0.35044267773628235
69,0,0.36207735538482666
70,0,0.1533571034669876
71,0,0.9353958964347839
72,0,0.29142460227012634
73,0,-0.07255268096923828
74,0,0.2289554923772812
75,0,0.57065349817276
76,0,0.09321373701095581
77,0,0.1514810025691986
78,0,0.1682107299566269
79,0,0.13973374664783478
80,0,0.16580495238304138
81,0,0.6974533796310425
82,0,0.5171982049942017
83,0,0.6635770797729492
84,0,1.3679075241088867
85,0,1.2695810794830322
86,0,0.5433073043823242
87,0,0.15052521228790283
88,0,0.679200291633606
89,0,0.5710223317146301
90,0,0.29713499546051025
91,0,0.23440711200237274
92,0,0.26574718952178955
93,0,0.8982600569725037
94,0,0.123656265437603
95,0,0.031032990664243698
96,0,-0.07733108103275299
97,0,-0.1661180704832077
98,0,0.06345611065626144
99,0,1.056921124458313
0,1,4.626718521118164
1,1,0.3660910129547119
2,1,0.6063634753227234
3,1,0.16877438127994537
4,1,0.12291858345270157
5,1,-0.08800813555717468
6,1,0.3507697284221649
7,1,0.2933482229709625
8,1,0.5686423778533936
9,1,0.2505868375301361
10,1,1.1907950639724731
11,1,0.21702194213867188
12,1,0.29433295130729675
13,1,0.062302958220243454
14,1,0.38001710176467896
15,1,0.17625413835048676
16,1,0.007610423024743795
17,1,0.0851547047495842
18,1,0.032930146902799606
19,1,1.0011504888534546
20,1,0.5251200199127197
21,1,0.17490968108177185
22,1,0.08472602069377899
23,1,0.5535472631454468
24,1,0.1076270043849945
25,1,0.12430630624294281
26,1,0.1606459617614746
27,1,0.05066395550966263
28,1,0.04757462069392204
29,1,0.3663695752620697
30,1,0.012082700617611408
31,1,0.20170748233795166
32,1,0.07295029610395432
33,1,0.11412084102630615
34,1,-0.11971378326416016
35,1,0.07734072953462601
36,1,-0.13968004286289215
37,1,0.10769931226968765
38,1,0.030901985242962837
39,1,0.10570210963487625
40,1,0.3318628966808319
41,1,0.6127279996871948
42,1,0.04027210548520088
43,1,0.344099223613739
44,1,0.05273446813225746
45,1,0.5675057768821716
46,1,0.6395114064216614
47,1,0.19782228767871857
48,1,0.3800073266029358
49,1,0.20949183404445648
50,1,0.29407840967178345
51,1,0.5733283758163452
52,1,0.30210351943969727
53,1,-0.006168102379888296
54,1,0.49195975065231323
55,1,0.8373830914497375
56,1,0.0930495411157608
57,1,0.5630248188972473
58,1,0.47312748432159424
59,1,0.13525739312171936
60,1,0.4008070230484009
61,1,0.15094386041164398
62,1,0.14470365643501282
63,1,0.9562955498695374
64,1,1.7797741889953613
