time,seed,sinkhorn_div
0,3,5.511834503623717
1,3,3.174594408696803
2,3,1.7125857700671303
3,3,1.0096187521630322
4,3,0.6891008725370187
5,3,0.700178542528212
6,3,0.5961543391121561
7,3,0.5361156634591522
8,3,0.4548186516135418
9,3,0.3831970852094942
10,3,0.4179234346442034
11,3,0.4259342653595316
12,3,0.35302973913960306
13,3,0.38512336250088297
14,3,0.30371038553365615
15,3,0.21033307297964302
16,3,0.19567831114349168
17,3,0.2557342310609224
18,3,0.3503569596362187
19,3,0.30466375502959125
20,3,0.25549950662423443
21,3,0.26141921025519144
22,3,0.23437150316808714
23,3,0.22241852433870157
24,3,0.2876108422357211
25,3,0.367042228693681
26,3,0.5371126486938587
27,3,0.4893158442331445
28,3,0.4464190938488507
29,3,0.2781007000669497
30,3,0.2622975454259953
31,3,0.21307276012819282
32,3,0.20586403618879326
33,3,0.22858259246828724
34,3,0.3266190416038577
35,3,0.22485551201579215
36,3,0.2152208140509522
37,3,0.21236760524058504
38,3,0.19408761265880967
39,3,0.20717142865548407
0,5,5.6080638660162725
1,5,3.51882368589935
2,5,1.8385646771800204
3,5,1.1291058637757816
4,5,0.7799230750983275
5,5,0.7092319613190824
6,5,0.6436847098119948
7,5,0.5915910721784207
8,5,0.5319492562587934
9,5,0.4459708517176222
10,5,0.43178699134929444
11,5,0.4672044546820855
12,5,0.39261940127063544
13,5,0.38689792220040115
14,5,0.2752090152878341
15,5,0.22849507524736326
16,5,0.20663978345732062
17,5,0.19992498428949998
18,5,0.23945772032816637
19,5,0.27883686516921613
20,5,0.26840268081333196
21,5,0.24004166324656087
22,5,0.22313672642654137
23,5,0.20571824942163847
24,5,0.18764327456220276
25,5,0.2576043415698856
26,5,0.3849935098819389
27,5,0.2537518545374257
28,5,0.33625883436474263
29,5,0.37196773206316264
30,5,0.3896665258200668
31,5,0.23345234779007432
32,5,0.21988633175200684
33,5,0.2367065725562098
34,5,0.39106266299002457
35,5,0.4020447777593374
36,5,0.34578895580946584
37,5,0.28294875461363617
38,5,0.2312141825671715
39,5,0.22351733395384166
0,7,4.5725747272439925
1,7,2.488722541998655
2,7,1.3445705747200989
3,7,0.9818553770108935
4,7,0.7556851208341528
5,7,0.6932820451623132
6,7,0.6484520002835034
7,7,0.5299150861338712
8,7,0.4569682705515457
9,7,0.4661544784795584
10,7,0.628625487214554
11,7,0.3609570634172201
12,7,0.32637401416151923
13,7,0.3032655547383351
14,7,0.3016289123972267
15,7,0.2884267698174644
16,7,0.3046473329917548
17,7,0.25189283669880724
18,7,0.210000003462746
19,7,0.23479778780372315
20,7,0.2533574555753966
21,7,0.22020444824312724
22,7,0.196850197607275
23,7,0.20391174323622557
24,7,0.20400980661934187
25,7,0.46527411469714586
26,7,0.4083993066151811
27,7,0.38469468832853354
28,7,0.2813005534408677
29,7,0.275989125607676
30,7,0.2586503430814623
31,7,0.2230919122739124
32,7,0.16831518088818118
33,7,0.19702791300404957
34,7,0.20218802723233614
35,7,0.23956210190918825
36,7,0.24337214257316903
37,7,0.20926060647471809
38,7,0.17767948309061343
39,7,0.18617196446847628
0,11,5.253653027413049
1,11,3.6578189711287403
2,11,2.237844907293971
3,11,1.4484301783964089
4,11,1.1082824377453973
5,11,1.1484424305505074
6,11,1.035615754256016
7,11,1.046709132932611
8,11,0.8375022361497775
9,11,0.7099577472095617
10,11,0.7534055875699099
11,11,0.7044714433636917
12,11,0.49077489774103533
13,11,0.33988233325338296
14,11,0.27232334121773927
15,11,0.244499492106466
16,11,0.22561028584451567
17,11,0.22691408369786917
18,11,0.2250333267935068
19,11,0.21290842909252794
20,11,0.3351119232208913
21,11,0.2538503438583218
22,11,0.21498837371651736
23,11,0.18764327456220276
24,11,0.18102486127092882
25,11,0.22131425927892218
26,11,0.2573130422405305
27,11,0.38713046034773363
28,11,0.5060335838779022
29,11,0.30063266304226327
30,11,0.29376861736469184
31,11,0.21149468125200555
32,11,0.18766992538197905
33,11,0.20656718118935266
34,11,0.21241469073308794
