time,seed,sinkhorn_div
0,3,3.262123530506423
1,3,2.3905584787326326
2,3,1.7135256348143064
3,3,0.849552827904488
4,3,0.5156840088342043
5,3,0.42382779099411705
6,3,0.2136352012446322
7,3,0.17472836090772506
8,3,0.14855975211390182
9,3,0.17079227419781065
10,3,0.15918542699471283
11,3,0.19987495655920573
12,3,0.16226521435475813
13,3,0.15520953416893177
14,3,0.16161682953063972
15,3,0.14771594173109576
16,3,0.15662055778863637
17,3,0.16646320930778707
18,3,0.17623847730150388
19,3,0.18363006719579175
20,3,0.1716391560053655
21,3,0.17688979179685466
22,3,0.16870091792969422
23,3,0.13408952235045185
24,3,0.17317621271492997
25,3,0.20503658600596322
26,3,0.23317375701060933
27,3,0.20374003245540206
28,3,0.17595453727818666
29,3,0.1792763276470849
30,3,0.17158088661988813
31,3,0.16751119481937432
32,3,0.14832396934005881
33,3,0.16893785934325348
34,3,0.1760965645183538
35,3,0.19804040382843263
36,3,0.15585249166179643
37,3,0.16507573820628188
38,3,0.15556349143957196
39,3,0.1592482319790595
0,5,3.2113299721648834
1,5,1.995033833783293
2,5,1.4339734647788358
3,5,0.5317236247639325
4,5,0.43766425659635155
5,5,0.36261550855263325
6,5,0.18944656714661406
7,5,0.1766918227797384
8,5,0.17612495728025873
9,5,0.15877657438863196
10,5,0.16198765539779586
11,5,0.17340703387348794
12,5,0.16257305932940538
13,5,0.1890238095725446
14,5,0.15713052007914477
15,5,0.14580809567827036
16,5,0.12292274011205924
17,5,0.15404544940052428
18,5,0.16810710886237948
19,5,0.17643695499033302
20,5,0.21512786978636675
21,5,0.18994735865349302
22,5,0.1637070529252051
23,5,0.16643316830260102
24,5,0.14202112325441302
25,5,0.1914157767747076
26,5,0.23207757596545742
27,5,0.185660979672518
28,5,0.183030054456816
29,5,0.1984691448210746
30,5,0.1765219553247682
31,5,0.1371495543944824
32,5,0.14436066071199644
33,5,0.1554027055270563
34,5,0.16254229934978817
35,5,0.17128923148622083
36,5,0.17821335441666553
37,5,0.16772000613274382
38,5,0.15556349143957196
39,5,0.15251229206363676
0,7,2.6771290301468804
1,7,2.172553745390739
2,7,1.0702055717572734
3,7,0.7426775870216582
4,7,0.6349803150685231
5,7,0.3923263881401367
6,7,0.20721968586376263
7,7,0.19521782487784706
8,7,0.14601369898359082
9,7,0.16619266158506396
10,7,0.16748134179068472
11,7,0.18965758273136807
12,7,0.16574076169794463
13,7,0.179555004447402
14,7,0.18313928927567566
15,7,0.15142654977694708
16,7,0.15059880301885123
17,7,0.15786069733587763
18,7,0.1544991929290117
19,7,0.2178531637640798
20,7,0.1658915280294798
21,7,0.1571623392615061
22,7,0.1570986944520428
23,7,0.17977764107715402
24,7,0.16852299601174434
25,7,0.17874563120124778
26,7,0.18506755152941634
27,7,0.21981810464240678
28,7,0.17586926799758754
29,7,0.16640312747085267
30,7,0.16118312397031323
31,7,0.1656200464425582
32,7,0.13903237214710587
33,7,0.1668232570840834
34,7,0.15430489048479248
35,7,0.16410362772651105
36,7,0.1618332464448795
37,7,0.14628739145951758
38,7,0.15076471840950292
39,7,0.14798648604066503
0,11,2.9535283211893164
1,11,2.349157275609297
2,11,1.3692954243913302
3,11,0.7761636335207036
4,11,0.583206654031428
5,11,0.3992618186696696
6,11,0.22997825767280317
7,11,0.20238576769442895
8,11,0.17635191896740812
9,11,0.14195069647408526
10,11,0.1449482675256388
11,11,0.1806931137234205
12,11,0.17161002107227882
13,11,0.1667932865105221
14,11,0.1500666522417188
15,11,0.14498276035615537
16,11,0.15404544940052428
17,11,0.14751271103182076
18,11,0.15776564898797218
19,11,0.1625115392787696
20,11,0.17372391824021807
21,11,0.1725398501982099
22,11,0.18324846914401358
23,11,0.13849187639836
24,11,0.18185159265506712
25,11,0.17615334017876025
26,11,0.16625281948194107
27,11,0.16637307561704393
28,11,0.18343936231990285
29,11,0.16214191156211238
30,11,0.17282939488567178
31,11,0.1469693864731144
32,11,0.16170961427914352
33,11,0.16318700708075962
34,11,0.18978935569175548
35,11,0.16121414328350842
36,11,0.14625320631775535
37,11,0.16401219732150354
38,11,0.1485934066166806
39,11,0.16297238788402973
0,13,2.872088077182819
1,13,2.3039552721543113
2,13,1.8183591783238682
3,13,1.2178751911396926
4,13,0.6628800804365033
5,13,0.5878350114339669
