time,seed,sinkhorn_div
0,3,2.0689441693509067
1,3,0.5708152175265572
2,3,0.3119294799930877
3,3,0.22689204255767148
4,3,0.1684636432621649
5,3,0.1509304452416328
6,3,0.13505554113020643
7,3,0.1281405451113486
8,3,0.11886967664225369
9,3,0.11313708356080601
10,3,0.12149073915278734
11,3,0.13906832559577473
12,3,0.12377398853845101
13,3,0.13427583867009835
14,3,0.11045360910609328
15,3,0.12561847004359372
16,3,0.1273577623907551
17,3,0.1521840970679173
18,3,0.1560448670907906
19,3,0.14258331132627028
20,3,0.14247807166715376
21,3,0.14522396795241352
22,3,0.11974973998758284
23,3,0.12300406574153036
24,3,0.1264515726203237
25,3,0.13870832474615807
26,3,0.1600937197895755
27,3,0.16211107551877754
28,3,0.15582041098017055
29,3,0.13405222662218672
30,3,0.14442991235257135
31,3,0.12153188981373092
32,3,0.13042238919385377
33,3,0.13198484558973556
34,3,0.1332666472164223
35,3,0.12537942610550676
36,3,0.13431306537235815
37,3,0.13160546962501055
38,3,0.12324771687335126
39,3,0.12296340775670013
0,5,2.403295610619448
1,5,1.4177658734590808
2,5,0.588489594870719
3,5,0.3281463093877187
4,5,0.28750651652787595
5,5,0.223696220770474
6,5,0.16462077794276558
7,5,0.15578831771420806
8,5,0.1314534112552422
9,5,0.1252996384948248
10,5,0.12676750698547506
11,5,0.12794530205401353
12,5,0.12817956094182795
13,5,0.12537942610550676
14,5,0.11734564362507907
15,5,0.12340988622907602
16,5,0.1156287154038928
17,5,0.11870130462827364
18,5,0.1257775827430031
19,5,0.13718600807812475
20,5,0.14727525198961366
21,5,0.1634625352517866
22,5,0.12845232543863513
23,5,0.1190378105041154
24,5,0.12668859358166396
25,5,0.12817956094182795
26,5,0.14106735881428561
27,5,0.17640861772345398
28,5,0.1491978583265739
29,5,0.13725887961577787
30,5,0.13754999324804806
31,5,0.12437845466119422
32,5,0.14275853618087053
33,5,0.13156746973858452
34,5,0.1805270113349189
35,5,0.14505171498971556
36,5,0.13307892499026866
37,5,0.12569804786495511
38,5,0.11958260710702857
39,5,0.12509996172338733
0,7,1.6946769261298478
1,7,0.6463512963644433
2,7,0.3260214681533664
3,7,0.2267597835826388
4,7,0.1614001224292677
5,7,0.12731849472631154
6,7,0.12441864648994697
